evolution_id,name,name_zh,slug,date_range_start,date_range_end,exact_release_date,category,status,free,repeatable,url,popular_url,popular_status,popular_player_count
439,Incisive Pass+,,incisive-pass,2025-09-18,2026-02-14,,REWARDS,expired,true,true,https://www.futbin.com/26/evolutions/439/incisive-pass,https://www.futbin.com/26/popular/evolutions?evo_id=439,no-popular-players,0
440,Agile Maestro,,agile-maestro,2025-09-18,2026-02-14,,REWARDS,expired,true,5,https://www.futbin.com/26/evolutions/440/agile-maestro,https://www.futbin.com/26/popular/evolutions?evo_id=440,no-popular-players,0
441,Link-Up Boost,,link-up-boost,2025-09-18,2026-02-14,,EVOLUTIONS,expired,,true,https://www.futbin.com/26/evolutions/441/link-up-boost,https://www.futbin.com/26/popular/evolutions?evo_id=441,no-popular-players,0
442,Technical Institute,,technical-institute,2025-09-18,2026-02-14,,EVOLUTIONS,expired,true,2,https://www.futbin.com/26/evolutions/442/technical-institute,https://www.futbin.com/26/popular/evolutions?evo_id=442,no-popular-players,0
443,Meeks Mode,,meeks-mode,2025-09-18,2026-02-14,,EVOLUTIONS,expired,,true,https://www.futbin.com/26/evolutions/443/meeks-mode,https://www.futbin.com/26/popular/evolutions?evo_id=443,no-popular-players,0
447,Anticipate,,anticipate,2025-09-18,2026-02-14,,REWARDS,expired,true,true,https://www.futbin.com/26/evolutions/447/anticipate,https://www.futbin.com/26/popular/evolutions?evo_id=447,no-popular-players,0
448,Jockey+,,jockey,2025-09-18,2026-02-14,,REWARDS,expired,true,true,https://www.futbin.com/26/evolutions/448/jockey,https://www.futbin.com/26/popular/evolutions?evo_id=448,no-popular-players,0
449,5 Stars Skill Moves Upgrade,,5-stars-skill-moves-upgrade,2025-09-18,2026-02-14,,FS ACADEMY,expired,true,2,https://www.futbin.com/26/evolutions/449/5-stars-skill-moves-upgrade,https://www.futbin.com/26/popular/evolutions?evo_id=449,no-popular-players,0
450,5 Stars Weak Foot Upgrade,,5-stars-weak-foot-upgrade,2025-09-18,2026-02-14,,FS ACADEMY,expired,true,2,https://www.futbin.com/26/evolutions/450/5-stars-weak-foot-upgrade,https://www.futbin.com/26/popular/evolutions?evo_id=450,no-popular-players,0
451,Future Stars Academy II,,future-stars-academy-ii,2025-09-18,2026-02-14,,FS ACADEMY,expired,true,true,https://www.futbin.com/26/evolutions/451/future-stars-academy-ii,https://www.futbin.com/26/popular/evolutions?evo_id=451,no-popular-players,0
